,Line ID,Shape ID,Departure Time,Vehicle ID,Scheduled Travel Time (min),Travel Time (min),Distance (m),Energy Consumption (kWh)
2252,1-800,1-800-A-124,12:38:00,veh_2455_bus,80.0,78.73333333333333,25959.390927781405,26.434099131489102
2253,1-800,1-800-A-124,12:48:00,veh_2456_bus,80.0,78.66666666666667,25959.390927781405,26.43799524070773
2254,1-800,1-800-A-124,12:58:00,veh_2457_bus,80.0,78.73333333333333,25959.390927781405,26.42147696185866
2255,1-800,1-800-A-124,13:08:00,veh_2458_bus,80.0,78.7,25959.390927781405,26.406030060568987
2256,1-800,1-800-A-124,13:18:00,veh_2459_bus,80.0,78.68333333333334,25959.390927781405,26.381381208544322
2257,1-800,1-800-A-124,13:28:00,veh_2460_bus,80.0,78.68333333333334,25959.390927781405,26.328124293490585
2258,1-800,1-800-A-124,13:37:00,veh_2468_bus,81.0,79.68333333333334,25959.390927781405,26.414360010858392
2259,1-800,1-800-A-124,13:47:00,veh_2609_bus,82.0,79.81666666666666,25959.390927781405,26.41440896048173
2260,1-800,1-800-A-124,13:57:00,veh_2611_bus,83.0,80.86666666666666,25959.390927781405,26.44973718431802
2261,1-800,1-800-A-124,14:06:00,veh_2586_bus,85.0,82.86666666666666,25959.390927781405,26.4433507726571
2262,1-800,1-800-A-124,14:16:00,veh_2443_bus,86.0,84.06666666666666,25959.390927781405,26.465173974408128
2263,1-800,1-800-A-124,14:26:00,veh_2551_bus,87.0,84.81666666666666,25959.390927781405,26.55911500540158
2264,1-800,1-800-A-124,14:33:00,veh_2589_bus,92.0,89.86666666666666,25959.390927781405,26.523806835542995
2265,1-800,1-800-A-124,14:43:00,veh_2406_bus,93.0,90.86666666666666,25959.390927781405,26.690801221578592
2266,1-800,1-800-A-124,14:53:00,veh_2407_bus,93.0,90.86666666666666,25959.390927781405,26.507982945985304
2267,1-800,1-800-A-124,15:02:00,veh_2594_bus,94.0,92.01666666666667,25959.390927781405,26.71447573228003
2268,1-800,1-800-A-124,15:11:00,veh_2595_bus,94.0,91.86666666666666,25959.390927781405,26.483026573078703
2269,1-800,1-800-A-124,15:20:00,veh_2552_bus,95.0,93.06666666666666,25959.390927781405,26.61564467993396
2270,1-800,1-800-A-124,15:31:00,veh_2553_bus,95.0,92.86666666666666,25959.390927781405,26.818494553903527
2271,1-800,1-800-A-124,15:39:00,veh_2483_bus,97.0,94.86666666666666,25959.390927781405,26.84863043074973
2272,1-800,1-800-A-124,15:49:00,veh_2484_bus,97.0,94.86666666666666,25959.390927781405,26.90942337964946
2273,1-800,1-800-A-124,15:59:00,veh_2607_bus,95.0,92.83333333333333,25959.390927781405,26.625326335440207
2274,1-800,1-800-A-124,16:09:00,veh_2610_bus,94.0,91.86666666666666,25959.390927781405,27.00570931948842
2275,1-800,1-800-A-124,16:19:00,veh_2612_bus,92.0,90.73333333333333,25959.390927781405,26.824457208311202
2276,1-800,1-800-A-124,16:29:00,veh_2487_bus,91.0,89.68333333333334,25959.390927781405,26.861473681544403
2277,1-800,1-800-A-124,16:40:00,veh_2519_bus,90.0,88.73333333333333,25959.390927781405,26.772430158205992
2278,1-800,1-800-A-124,16:51:00,veh_2514_bus,88.0,86.68333333333334,25959.390927781405,26.698415544373148
2279,1-800,1-800-A-124,17:05:00,veh_2592_bus,86.0,84.73333333333333,25959.390927781405,26.71242191552644
2280,1-800,1-800-A-124,17:21:00,veh_2444_bus,85.0,83.73333333333333,25959.390927781405,26.699203824472022
2281,1-800,1-800-A-124,17:39:00,veh_2543_bus,81.0,79.65,25959.390927781405,26.703018103875685
2282,1-800,1-800-A-124,17:55:00,veh_2613_bus,79.0,77.73333333333333,25959.390927781405,26.295495352874322
2283,1-800,1-800-A-124,18:11:00,veh_2614_bus,78.0,76.73333333333333,25959.390927781405,26.331032366575027
2284,1-800,1-800-A-124,18:28:00,veh_2584_bus,75.0,73.68333333333334,25959.390927781405,26.259087058675036
2285,1-800,1-800-A-124,18:43:00,veh_2559_bus,74.0,72.73333333333333,25959.390927781405,26.25518548822751
2286,1-800,1-800-A-124,18:59:00,veh_2561_bus,73.0,71.73333333333333,25959.390927781405,26.23141238731017
2287,1-800,1-800-A-124,19:14:00,veh_2562_bus,73.0,71.73333333333333,25959.390927781405,26.20734442666652
2288,1-800,1-800-A-124,19:29:00,veh_2469_bus,72.0,70.73333333333333,25959.390927781405,26.23232013970374
2289,1-800,1-800-A-124,19:44:00,veh_2470_bus,72.0,70.73333333333333,25959.390927781405,26.2154825592126
2290,1-800,1-800-A-124,20:01:00,veh_2461_bus,70.0,68.73333333333333,25959.390927781405,26.165040969978367
2291,1-800,1-800-A-124,20:16:00,veh_2462_bus,70.0,68.73333333333333,25959.390927781405,26.16505225443751
2292,1-800,1-800-A-124,20:31:00,veh_2463_bus,70.0,68.68333333333334,25959.390927781405,26.155160521044014
2293,1-800,1-800-A-124,20:46:00,veh_2526_bus,68.0,66.73333333333333,25959.390927781405,26.05053114281506
2294,1-800,1-800-A-124,21:03:00,veh_2590_bus,66.0,64.73333333333333,25959.390927781405,25.585855015985857
2295,1-800,1-800-A-124,21:19:00,veh_2532_bus,65.0,63.733333333333334,25959.390927781405,25.53948846672496
2296,1-800,1-800-A-124,21:34:00,veh_2533_bus,65.0,63.733333333333334,25959.390927781405,25.512931549973434
2297,1-800,1-800-A-124,21:49:00,veh_2534_bus,65.0,63.733333333333334,25959.390927781405,25.51317898790733
2298,1-800,1-800-A-124,22:04:00,veh_2535_bus,65.0,63.68333333333333,25959.390927781405,25.506328715892934
2299,1-800,1-800-A-124,22:20:00,veh_2524_bus,63.0,61.733333333333334,25959.390927781405,25.44065196244087
2300,1-800,1-800-A-124,22:35:00,veh_2525_bus,63.0,61.733333333333334,25959.390927781405,25.424954143978116
2301,1-800,1-800-A-124,22:50:00,veh_2605_bus,62.0,60.733333333333334,25959.390927781405,25.451773620896386
2302,1-800,1-800-A-124,23:05:00,veh_2508_bus,61.0,59.733333333333334,25959.390927781405,25.44628972031559
2303,1-800,1-800-A-124,23:21:00,veh_2422_bus,60.0,58.733333333333334,25959.390927781405,25.313953232673665
2304,1-800,1-800-A-124,23:36:00,veh_2423_bus,60.0,58.733333333333334,25959.390927781405,25.29988934403739
2305,1-800,1-800-A-124,23:51:00,veh_2424_bus,60.0,58.733333333333334,25959.390927781405,25.29988934403739
2306,1-800,1-800-A-124,24:07:00,veh_2491_bus,59.0,57.68333333333333,25959.390927781405,25.46303010229467
2307,1-800,1-800-A-124,24:22:00,veh_2492_bus,59.0,57.733333333333334,25959.390927781405,25.35813632846102
2308,1-800,1-800-A-124,24:36:00,veh_2493_bus,59.0,57.733333333333334,25959.390927781405,25.35813632846102
2309,1-800,1-800-R-123,05:19:00,veh_2529_bus,65.0,64.93333333333334,26476.70473041828,25.962398753054106
2310,1-800,1-800-R-123,05:34:00,veh_2530_bus,65.0,64.93333333333334,26476.70473041828,25.962398753054106
2311,1-800,1-800-R-123,05:48:00,veh_2502_bus,66.0,65.93333333333334,26476.70473041828,26.06272194645844
2312,1-800,1-800-R-123,06:02:00,veh_2600_bus,69.0,68.93333333333334,26476.70473041828,26.395936504821915
2313,1-800,1-800-R-123,06:17:00,veh_2408_bus,71.0,70.88333333333334,26476.70473041828,26.45864198926884
2314,1-800,1-800-R-123,06:29:00,veh_2575_bus,76.0,75.93333333333334,26476.70473041828,26.644280635524353
2315,1-800,1-800-R-123,06:37:00,veh_2567_bus,77.0,76.95,26476.70473041828,26.543282606605587
2316,1-800,1-800-R-123,06:46:00,veh_2501_bus,78.0,77.93333333333334,26476.70473041828,26.587259594370025
2317,1-800,1-800-R-123,06:55:00,veh_2579_bus,79.0,78.71666666666667,26476.70473041828,26.51986846581983
2318,1-800,1-800-R-123,07:03:00,veh_2495_bus,80.0,79.48333333333333,26476.70473041828,26.437804194175303
2319,1-800,1-800-R-123,07:09:00,veh_2572_bus,82.0,81.93333333333334,26476.70473041828,26.850000247481635
2320,1-800,1-800-R-123,07:16:00,veh_2597_bus,83.0,82.71666666666667,26476.70473041828,26.710351181075307
2321,1-800,1-800-R-123,07:23:00,veh_2523_bus,84.0,83.71666666666667,26476.70473041828,26.538489592992157
2322,1-800,1-800-R-123,07:32:00,veh_2581_bus,85.0,84.93333333333334,26476.70473041828,26.668574107394278
2323,1-800,1-800-R-123,07:42:00,veh_2582_bus,85.0,84.88333333333334,26476.70473041828,26.741179262917157
2324,1-800,1-800-R-123,07:52:00,veh_2518_bus,83.0,82.93333333333334,26476.70473041828,26.583426359046218
2325,1-800,1-800-R-123,08:03:00,veh_2591_bus,82.0,81.93333333333334,26476.70473041828,26.24273576828029
2326,1-800,1-800-R-123,08:13:00,veh_2500_bus,80.0,79.93333333333334,26476.70473041828,26.27712624787222
2327,1-800,1-800-R-123,08:24:00,veh_2576_bus,79.0,78.93333333333334,26476.70473041828,26.336217276927236
2328,1-800,1-800-R-123,08:34:00,veh_2577_bus,79.0,78.93333333333334,26476.70473041828,26.40556554613256
2329,1-800,1-800-R-123,08:45:00,veh_2573_bus,78.0,77.93333333333334,26476.70473041828,26.28164513748275
2330,1-800,1-800-R-123,08:55:00,veh_2421_bus,77.0,76.93333333333334,26476.70473041828,26.161521795317274
2331,1-800,1-800-R-123,09:05:00,veh_2527_bus,76.0,75.93333333333334,26476.70473041828,26.40247048236312
2332,1-800,1-800-R-123,09:16:00,veh_2471_bus,76.0,75.93333333333334,26476.70473041828,26.546706434709357
2333,1-800,1-800-R-123,09:26:00,veh_2472_bus,76.0,75.93333333333334,26476.70473041828,26.53556797325162
2334,1-800,1-800-R-123,09:36:00,veh_2473_bus,76.0,75.93333333333334,26476.70473041828,26.531923806699442
2335,1-800,1-800-R-123,09:46:00,veh_2474_bus,76.0,75.88333333333334,26476.70473041828,26.522040871793447
2336,1-800,1-800-R-123,09:56:00,veh_2475_bus,76.0,75.93333333333334,26476.70473041828,26.519914144268952
2337,1-800,1-800-R-123,10:06:00,veh_2476_bus,76.0,75.93333333333334,26476.70473041828,26.60324889201606
2338,1-800,1-800-R-123,10:16:00,veh_2477_bus,76.0,75.93333333333334,26476.70473041828,26.53027217475543
2339,1-800,1-800-R-123,10:26:00,veh_2478_bus,76.0,75.93333333333334,26476.70473041828,26.568192757264477
2340,1-800,1-800-R-123,10:36:00,veh_2442_bus,77.0,76.93333333333334,26476.70473041828,26.614692099297002
2341,1-800,1-800-R-123,10:46:00,veh_2538_bus,78.0,77.93333333333334,26476.70473041828,26.610713827578373
2342,1-800,1-800-R-123,10:56:00,veh_2539_bus,78.0,77.71666666666667,26476.70473041828,26.580120955957877
2343,1-800,1-800-R-123,11:06:00,veh_2540_bus,78.0,77.93333333333334,26476.70473041828,26.62360185564394
2344,1-800,1-800-R-123,11:15:00,veh_2615_bus,79.0,78.93333333333334,26476.70473041828,26.60062405469954
2345,1-800,1-800-R-123,11:25:00,veh_2411_bus,80.0,79.88333333333334,26476.70473041828,26.68975905695062
2346,1-800,1-800-R-123,11:35:00,veh_2412_bus,80.0,79.93333333333334,26476.70473041828,26.626108541105577
2347,1-800,1-800-R-123,11:45:00,veh_2413_bus,80.0,79.93333333333334,26476.70473041828,26.607748624996017
2348,1-800,1-800-R-123,11:55:00,veh_2414_bus,80.0,79.93333333333334,26476.70473041828,26.676598191933145
2349,1-800,1-800-R-123,12:05:00,veh_2415_bus,80.0,79.88333333333334,26476.70473041828,26.696567274358642
2350,1-800,1-800-R-123,12:15:00,veh_2416_bus,80.0,79.93333333333334,26476.70473041828,26.697431023006523
2351,1-800,1-800-R-123,12:26:00,veh_2417_bus,80.0,79.93333333333334,26476.70473041828,26.62688776533871
2352,1-800,1-800-R-123,12:35:00,veh_2418_bus,80.0,79.93333333333334,26476.70473041828,26.750104079109793
2353,1-800,1-800-R-123,12:45:00,veh_2419_bus,80.0,79.93333333333334,26476.70473041828,26.85881256383097
2354,1-800,1-800-R-123,12:55:00,veh_2420_bus,80.0,79.93333333333334,26476.70473041828,26.69842017231867
2355,1-800,1-800-R-123,13:05:00,veh_2464_bus,81.0,80.93333333333334,26476.70473041828,26.6297961081103
2356,1-800,1-800-R-123,13:15:00,veh_2465_bus,81.0,80.93333333333334,26476.70473041828,26.669859296006003
2357,1-800,1-800-R-123,13:25:00,veh_2466_bus,81.0,80.93333333333334,26476.70473041828,26.7060699257659
2358,1-800,1-800-R-123,13:35:00,veh_2467_bus,81.0,80.93333333333334,26476.70473041828,26.678884049051526
2359,1-800,1-800-R-123,13:45:00,veh_2409_bus,82.0,81.71666666666667,26476.70473041828,26.689413194606345
2360,1-800,1-800-R-123,13:55:00,veh_2410_bus,82.0,81.71666666666667,26476.70473041828,26.67257490456697
2361,1-800,1-800-R-123,14:05:00,veh_2583_bus,83.0,82.71666666666667,26476.70473041828,26.86133147015513
2362,1-800,1-800-R-123,14:15:00,veh_2480_bus,85.0,84.76666666666667,26476.70473041828,26.68838459738502
2363,1-800,1-800-R-123,14:25:00,veh_2588_bus,86.0,85.75,26476.70473041828,26.697669236813777
2364,1-800,1-800-R-123,14:34:00,veh_2441_bus,88.0,87.71666666666667,26476.70473041828,26.879455292710002
2365,1-800,1-800-R-123,14:44:00,veh_2511_bus,90.0,89.71666666666667,26476.70473041828,27.052135432806683
2366,1-800,1-800-R-123,14:52:00,veh_2593_bus,93.0,92.71666666666667,26476.70473041828,26.897891953857766
2367,1-800,1-800-R-123,15:01:00,veh_2554_bus,94.0,93.71666666666667,26476.70473041828,27.05653273259808
2368,1-800,1-800-R-123,15:09:00,veh_2496_bus,96.0,95.5,26476.70473041828,26.90331659618386
2369,1-800,1-800-R-123,15:16:00,veh_2515_bus,97.0,96.66666666666667,26476.70473041828,27.075650425341813
2370,1-800,1-800-R-123,15:24:00,veh_2516_bus,97.0,96.71666666666667,26476.70473041828,27.095655420950155
2371,1-800,1-800-R-123,15:30:00,veh_2517_bus,97.0,96.71666666666667,26476.70473041828,26.936123456582333
2372,1-800,1-800-R-123,15:35:00,veh_2549_bus,98.0,97.71666666666667,26476.70473041828,27.11955240924662
2373,1-800,1-800-R-123,15:41:00,veh_2550_bus,98.0,97.71666666666667,26476.70473041828,27.13469856085029
2374,1-800,1-800-R-123,15:46:00,veh_2608_bus,98.0,97.71666666666667,26476.70473041828,27.192437478019475
2375,1-800,1-800-R-123,15:51:00,veh_2486_bus,98.0,97.88333333333334,26476.70473041828,26.80619256256761
2376,1-800,1-800-R-123,15:56:00,veh_2563_bus,98.0,97.71666666666667,26476.70473041828,26.666729306647888
2377,1-800,1-800-R-123,16:02:00,veh_2438_bus,96.0,95.71666666666667,26476.70473041828,26.68772360760481
2378,1-800,1-800-R-123,16:08:00,veh_2439_bus,96.0,95.71666666666667,26476.70473041828,26.617840320341905
2379,1-800,1-800-R-123,16:16:00,veh_2568_bus,95.0,94.71666666666667,26476.70473041828,26.70530763990564
2380,1-800,1-800-R-123,16:24:00,veh_2537_bus,93.0,92.93333333333334,26476.70473041828,26.653984753739717
2381,1-800,1-800-R-123,16:33:00,veh_2482_bus,91.0,90.66666666666667,26476.70473041828,26.836869074151807
2382,1-800,1-800-R-123,16:42:00,veh_2603_bus,89.0,88.93333333333334,26476.70473041828,26.77895172812061
2383,1-800,1-800-R-123,16:50:00,veh_2604_bus,89.0,88.93333333333334,26476.70473041828,26.6788802699203
2384,1-800,1-800-R-123,17:00:00,veh_2509_bus,88.0,87.88333333333334,26476.70473041828,26.518332430510128
2385,1-800,1-800-R-123,17:09:00,veh_2601_bus,85.0,84.88333333333334,26476.70473041828,26.658891369915008
2386,1-800,1-800-R-123,17:17:00,veh_2602_bus,84.0,83.93333333333334,26476.70473041828,26.593210602583735
2387,1-800,1-800-R-123,17:27:00,veh_2505_bus,82.0,81.93333333333334,26476.70473041828,26.588360073820528
2388,1-800,1-800-R-123,17:38:00,veh_2528_bus,81.0,80.88333333333334,26476.70473041828,26.556232711641904
2389,1-800,1-800-R-123,17:49:00,veh_2503_bus,80.0,79.93333333333334,26476.70473041828,26.592029663766372
2390,1-800,1-800-R-123,17:59:00,veh_2504_bus,80.0,79.93333333333334,26476.70473041828,26.596157320383398
2391,1-800,1-800-R-123,18:09:00,veh_2566_bus,79.0,78.93333333333334,26476.70473041828,26.625076190576344
2392,1-800,1-800-R-123,18:26:00,veh_2479_bus,77.0,76.93333333333334,26476.70473041828,26.53024360215931
2393,1-800,1-800-R-123,18:41:00,veh_2570_bus,76.0,75.93333333333334,26476.70473041828,26.52123997584202
2394,1-800,1-800-R-123,18:56:00,veh_2571_bus,76.0,75.93333333333334,26476.70473041828,26.490632296906885
2395,1-800,1-800-R-123,19:12:00,veh_2596_bus,75.0,74.93333333333334,26476.70473041828,26.503015119795197
2396,1-800,1-800-R-123,19:28:00,veh_2499_bus,74.0,73.93333333333334,26476.70473041828,26.46043067389201
2397,1-800,1-800-R-123,19:44:00,veh_2544_bus,73.0,72.93333333333334,26476.70473041828,26.469521772220983
